Mes,Localidade,Ozônio,Dióxido de Nitrogênio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Enxofre,Monóxido de Carbono,Partículas Respiráveis,Partículas Inaláveis,Umidade Relativa,Temperatura
janeiro,Vitória-Centro,31.84,31.36,15.73,33.1,10.58,495.1,1.2,13.6,80.7,28.2
fevereiro,Vitória-Centro,35.6,27.31,16.56,39.83,9.34,632.75,2.0,11.9,78.7,28.2
março,Vitória-Centro,28.65,21.0,11.28,32.28,3.8,480.93,5.4,15.5,75.6,26.7
abril,Vitória-Centro,61.47,28.54,15.36,43.9,5.25,553.49,5.8,19.8,75.8,26.8
maio,Vitória-Centro,29.82,23.93,12.65,36.58,10.95,487.91,5.2,15.1,80.1,26.5
junho,Vitória-Centro,30.92,27.47,17.35,44.82,7.05,615.79,5.3,41.3,81.6,27.9
julho,Vitória-Centro,38.11,27.41,9.02,36.42,7.67,454.96,6.3,20.5,79.4,27.8
agosto,Vitória-Centro,42.67,28.36,10.55,38.91,8.83,457.34,4.9,18.9,76.7,26.9
setembro,Vitória-Centro,21.73,22.93,7.68,30.61,9.37,510.97,11.7,21.4,73.4,25.9
outubro,Vitória-Centro,46.85,23.03,7.0,30.03,5.28,523.19,8.6,15.9,74.6,25.7
novembro,Vitória-Centro,23.16,20.66,10.41,31.06,7.78,466.18,3.5,17.8,78.3,27.3
dezembro,Vitória-Centro,34.9,24.36,11.59,35.94,7.13,508.35,6.1,20.2,79.7,27.0
